city_id,utcOffset,station,station_id,url,station_name,station_description,station_genre,station_url
vvWuTKaA,120,103.7 Arcobaleno FM,X-6KIkLG,/listen/radio-103-7-arcobaleno-fm/X-6KIkLG,Radio Arcobaleno,,Misc,
8s7Hqmt1,-300,SabrosaZa,X0p3c8kN,/listen/sabrosaza/X0p3c8kN,Sabrosaza.com,,su_genero_musical,http://sabrosaza.com/
PPM2Rql0,-420,J.A.Z.Z. VNU,X1bwvqkl,/listen/j-a-z-z-vnu/X1bwvqkl,Streaming by Securenet Systems Cirrus(R),Streaming by Securenet Systems Cirrus(R),Rock,http://rss.securenetsystems.net
JiLW5qtr,120,Nostalgie Extra 90,X3GMKfJu,/listen/nostalgie-extra-90/X3GMKfJu,,,Classic Hits,https://nl.nostalgie.be
IgQ9XxkV,120,Kronehit FM 105.8,X43KzgPb,/listen/kronehit-fm-105-8/X43KzgPb,Kronehit 105.8,wir sind die meiste musik,Pop,http://www.kronehit.at
CRVDk8z6,600,University UCFM 87.8,X4BmhDhS,/listen/university-ucfm-87-8/X4BmhDhS,UCFM,Canberra's #1 student station,genre,https://ucfm.com.au/
GfwecgE5,120,Pop FM 97.6,X4psv9zl,/listen/pop-fm-97-6/X4psv9zl,Pop FM - Slusaj glasno!!!,,Pop,http://www.popfm.ba
fT6bSObD,-180,Imbé FM,X6zT1Nap,/listen/imbe/X6zT1Nap,RadioCaster Stream,,Other,http://www.example.com
xGCdtpPi,720,Dave FM,X77Pz9Rz,/listen/dave-fm/X77Pz9Rz,Dave FM NZ,,Other Talk,http://www.davefm.net
MQfEnBji,180,Non-Random Radio Неслучайное Радио,X7fGS4rC,/listen/non-random-radio-nesluchaynoe-radio/X7fGS4rC,Stream Name,Default description,Unspecified,http://www.nes-rock.ru
iNvKeJz2,180,Garmonia Mira,X7w4CSTa,/listen/garmonia-mira/X7w4CSTa,Garmonia,Garmonia,Other,https://garmoniamira.com
9Yi25umJ,-240,RT Solo Milongas,X95S8BYw,/listen/rt-radio-meta-milonga/X95S8BYw,Meta Milonga,,Milonga,http://reportango.net
4oT76Ufe,-300,Bienvenida Stereo,X9BrUSfg,/listen/bienvenida-stereo/X9BrUSfg,LA RUMBERA STEREO Stream,,su_genero,http://example.com
IQJFCpBj,120,Radio 202,X9FWyEcz,/listen/radio-202/X9FWyEcz,Radio 202,,Pop,https://www.radio202.nl/
x8Q8NHAD,-300,WWIB 103.7FM,X9HAEG2s,/listen/wwib-103-7fm/X9HAEG2s,103.7 FM WWIB,Heart of West Wisconsin,Adult Contemporary Christian,http://www.wwib.com
