city_id,latitude,longitude,city,country
IivIy4uU,9.3034935,45.435814,Peschiera Borromeo,Italy
ufWZ1Cpb,-52.313454,4.92242,Cayenne,French Guiana
yamxtCoy,6.9602785,50.93753,Cologne,Germany
7wOiyMnJ,-88.013885,15.503889,San Pedro Sula,Honduras
e8FvI-da,-116.41279,33.739742,Rancho Mirage CA,United States
KdYnoOsO,-7.163664,38.88028,Elvas,Portugal
h0GH38Wg,0.4022963,52.75168,King's Lynn,United Kingdom
jHzHLhpf,29.096333,37.783016,Denizli,Turkey
p5cXjT9K,-121.129486,44.633453,Madras OR,United States
wDnKmL2z,-54.10047,-31.330175,Bagé RS,Brazil
CboUxFwk,-95.369804,29.760427,Houston TX,United States
DSdVof25,136.45157,34.855827,Kameyama,Japan
k-fT0caq,-79.83139,41.397778,Franklin PA,United States
IaWFcxwz,-75.37046,40.62593,Bethlehem PA,United States
Jz9EFkDQ,28.97836,41.008236,İstanbul,Turkey
FJRXEKpM,6.5806785,51.926666,Aalten,Netherlands
LCecbkXH,-84.79829,34.16487,Cartersville GA,United States
yww6IvMD,-0.3762881,39.469906,Valencia,Spain
VzJsqWhh,112.321,-8.12938,Wlingi,Indonesia
ansciUzh,10.782539,62.27597,Tynset,Norway
KW3VtnxN,-6.2603097,53.349804,Dublin,Ireland
5q5SvRD4,9.332959,45.52498,Cernusco sul Naviglio,Italy
lRP6Uwe7,14.512607,37.238094,Caltagirone,Italy
isRweCQI,-71.5576,41.17214,New Shoreham RI,United States
GCzPOsNX,-123.43074,48.118145,Port Angeles WA,United States
yq86dAN5,-95.997986,41.252365,Omaha NE,United States
lMxySzgj,3.56389,51.185272,Eeklo,Belgium
gasWgNDB,-75.232666,43.100903,Utica NY,United States
ajE4cgAg,12.118105,47.85713,Rosenheim,Germany
ufW1jwxo,-3.449581,51.46209,Cowbridge,United Kingdom
lUdvLwpN,4.7004933,52.601234,Heiloo,Netherlands
dhLUq6x8,16.601303,38.905544,Catanzaro,Italy
myvBkNG9,4.387178,45.439693,Saint-Étienne,France
4a60VH7Q,8.801694,53.079296,Bremen,Germany
vM6izi5P,88.36389,22.572645,Kolkata,India
j5345RJC,36.598263,50.599712,Belgorod,Russia
SNGrXQqq,26.408587,40.14672,Çanakkale,Turkey
faFoW88z,12.568337,55.676098,Copenhagen,Denmark
lYIiaA-O,-77.82055,39.60065,Williamsport MD,United States
1YuvAh89,5.3036747,51.697815,'s-Hertogenbosch,Netherlands
OXpr0ERz,144.96425,-37.81628,Melbourne,Australia
cQTUQppZ,-90.07153,29.951065,New Orleans LA,United States
lVI-jFIi,6.7410617,52.661358,Coevorden,Netherlands
B9UmTk5p,-74.01165,40.893246,Teaneck NJ,United States
0MN6TnHR,-2.774864,55.958675,Haddington,United Kingdom
eMGVY-_t,-76.37216,-6.4828215,Tarapoto,Peru
jj2cw4Sg,-86.586266,38.22388,Saint Croix IN,United States
s9PQagAP,-71.85636,45.367725,Sherbrooke,Canada
STWuTWwy,15.083031,37.507877,Catania,Italy
iHdX6qQY,34.78177,32.0853,Tel Aviv-Yafo,Israel
wBggEXZM,-75.16522,39.952583,Philadelphia PA,United States
q5xlbKPl,-82.63404,37.536915,Harold KY,United States
vfvDXCMS,-1.0872979,53.959965,York,United Kingdom
oVvHvV18,57.536293,22.917103,Nizwa,Oman
lgotbm21,-95.45661,31.318235,Crockett TX,United States
3pbxng1e,-94.5405,36.188137,Siloam Springs AR,United States
-OFmREv7,-8.974118,38.705566,Montijo,Portugal
3Q8zFu4o,-81.69436,41.49932,Cleveland OH,United States
Cj5Q3MsB,5.9244895,50.920147,Hoensbroek,Netherlands
YGpOy14a,-86.29997,32.366806,Montgomery AL,United States
MaDe2MFX,12.099147,54.09244,Rostock,Germany
a525LwgD,132.91307,48.780357,Birobidzhan,Russia
3FkVwBLm,-77.94471,34.225727,Wilmington NC,United States
xKbLhU5D,174.32462,-35.72265,Whangarei,New Zealand
QkxHmSx8,30.5234,50.4501,Kyiv,Ukraine
nSkLA0ID,8.951052,46.003677,Lugano,Switzerland
0YBcFTjx,-87.0642,41.61059,Chesterton IN,United States
2D6VkaAd,11.97456,57.70887,Gothenburg,Sweden
lQBWYLWa,25.144213,35.338734,Heraklion,Greece
aRBxvo1V,9.74231,47.50075,Bregenz,Austria
FdKbaldb,8.522885,39.16443,Carbonia,Italy
7_OycTES,-95.27051,31.963778,Jacksonville TX,United States
cDgDPJ1i,3.9470396,7.5503163,Akinyele,Nigeria
oWz_4Y5N,14.996114,37.283817,Lentini,Italy
uNB8u2o7,151.20929,-33.86882,Sydney,Australia
fmnVxH44,-79.21675,45.32693,Huntsville,Canada
mrtYKOWm,-9.287926,53.855,Castlebar,Ireland
SQxjnHM9,100.50176,13.7563305,Bangkok,Thailand
Yh4fn8j2,-0.438,54.005,Driffield,United Kingdom
RrfQbSTm,33.361435,35.174778,Nicosia,Cyprus
8auDzHOD,-38.52667,-3.7318616,Fortaleza CE,Brazil
mf3hEXCo,3.475007,45.96043,Puy-Guillaume,France
TaXPW1ZQ,-51.17967,-29.163403,Caxias do Sul RS,Brazil
7vCJ0sGy,10.752245,59.913868,Oslo,Norway
Cx-dUway,-93.99239,29.97438,Nederland TX,United States
Fr5CnKIx,-51.516987,-29.166708,Bento Gonçalves RS,Brazil
EpgcEvJT,-47.471848,-5.5205646,Imperatriz MA,Brazil
7UUywFBG,35.12159,32.965466,Nes Ammim,Israel
GayHRCZD,57.42879,23.826235,Al Suwayq,Oman
me6tUHil,16.35678,56.663445,Kalmar,Sweden
dq4w39B-,12.507951,55.93208,Nivå,Denmark
nkeutQ57,20.448921,44.786568,Belgrade,Serbia
dPPs8c2v,11.954011,45.416023,Noventa Padovana,Italy
